               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.85471,             0.42546,              1.1218,             0.98372,             0.98571,             0.99324,             0.87158,                   0,                   0,                   0,            0.067243,          0.00033088,          0.00033088
                   1,              0.8368,             0.41326,              1.1168,              0.9845,             0.98328,             0.99256,             0.86086,                   0,                   0,                   0,            0.034216,          0.00063791,          0.00063791
                   2,             0.87504,             0.42694,              1.1336,             0.98233,             0.98359,             0.99286,             0.85427,                   0,                   0,                   0,           0.0011636,          0.00091854,          0.00091854
                   3,             0.88107,             0.42555,              1.1308,             0.98545,             0.98789,             0.99321,             0.87091,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                   4,             0.86204,             0.42927,               1.129,             0.98808,             0.98024,             0.99285,             0.85416,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                   5,             0.88148,             0.43429,              1.1363,             0.98424,              0.9848,             0.99289,             0.85662,                   0,                   0,                   0,           0.0008416,           0.0008416,           0.0008416
                   6,             0.85205,             0.42093,              1.1295,             0.98661,             0.98389,             0.99295,             0.86131,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                   7,             0.88313,             0.43088,              1.1346,             0.98735,              0.9848,             0.99333,             0.87354,                   0,                   0,                   0,           0.0007624,           0.0007624,           0.0007624
                   8,             0.86398,             0.42045,              1.1284,             0.98235,             0.98237,             0.99276,             0.85944,                   0,                   0,                   0,           0.0007228,           0.0007228,           0.0007228
                   9,             0.83785,             0.40744,              1.1232,             0.98644,             0.98541,             0.99243,             0.86314,                   0,                   0,                   0,           0.0006832,           0.0006832,           0.0006832
                  10,             0.84632,             0.41683,              1.1193,             0.98804,             0.98541,             0.99303,             0.87169,                   0,                   0,                   0,           0.0006436,           0.0006436,           0.0006436
                  11,             0.83712,             0.41073,              1.1176,             0.98914,             0.97964,             0.99108,             0.86649,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  12,             0.84668,              0.4089,              1.1213,             0.98524,             0.98723,             0.99317,             0.87104,                   0,                   0,                   0,           0.0005644,           0.0005644,           0.0005644
                  13,             0.82896,             0.40267,              1.1131,             0.98724,             0.98967,             0.99338,             0.87874,                   0,                   0,                   0,           0.0005248,           0.0005248,           0.0005248
                  14,             0.81663,             0.39127,              1.1142,             0.98634,             0.98738,             0.99318,             0.87229,                   0,                   0,                   0,           0.0004852,           0.0004852,           0.0004852
                  15,             0.82771,             0.39335,              1.1234,             0.98449,             0.98967,             0.99331,             0.87454,                   0,                   0,                   0,           0.0004456,           0.0004456,           0.0004456
                  16,             0.80295,             0.38255,              1.1098,             0.98785,             0.98845,             0.99326,             0.88091,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  17,             0.78783,             0.37552,              1.1006,             0.98847,             0.99012,             0.99372,             0.88467,                   0,                   0,                   0,           0.0003664,           0.0003664,           0.0003664
                  18,             0.78133,             0.37181,              1.1068,             0.98634,             0.98748,             0.99334,             0.88442,                   0,                   0,                   0,           0.0003268,           0.0003268,           0.0003268
                  19,             0.78709,             0.37341,              1.1041,             0.98999,             0.98875,             0.99339,             0.87593,                   0,                   0,                   0,           0.0002872,           0.0002872,           0.0002872
                  20,             0.78857,             0.37032,              1.1063,             0.98908,             0.99066,             0.99356,             0.88888,                   0,                   0,                   0,           0.0002476,           0.0002476,           0.0002476
                  21,             0.78156,             0.36715,              1.1039,             0.98914,             0.99058,             0.99361,             0.89103,                   0,                   0,                   0,            0.000208,            0.000208,            0.000208
                  22,             0.76988,             0.36032,              1.0965,             0.98908,             0.99099,             0.99372,             0.88891,                   0,                   0,                   0,           0.0001684,           0.0001684,           0.0001684
                  23,             0.77938,             0.36463,              1.1037,             0.98877,             0.98997,             0.99361,             0.88658,                   0,                   0,                   0,           0.0001288,           0.0001288,           0.0001288
                  24,             0.76885,             0.35812,              1.1076,             0.99115,             0.98967,             0.99368,              0.8876,                   0,                   0,                   0,            8.92e-05,            8.92e-05,            8.92e-05
