                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48043,                0.21863,                0.86106,                0.98761,                0.99332,                0.99386,                0.89279,                0.56418,                0.21494,                0.90726,              0.0006535,              0.0006535,              0.0006535
                     37,                0.47003,                0.21656,                 0.8591,                0.99119,                0.99178,                0.99364,                0.89234,                0.56043,                 0.2186,                0.90402,              0.0006436,              0.0006436,              0.0006436
                     38,                0.47455,                0.21661,                0.85756,                0.99007,                 0.9924,                0.99363,                0.89206,                0.56885,                0.21794,                0.90806,              0.0006337,              0.0006337,              0.0006337
                     39,                0.46818,                0.21851,                0.85771,                0.98917,                0.99271,                0.99361,                0.88886,                0.56851,                0.21882,                0.90872,              0.0006238,              0.0006238,              0.0006238
                     40,                0.46353,                0.21357,                0.85852,                0.98586,                0.99591,                0.99348,                0.88912,                0.56629,                0.21761,                0.92243,              0.0006139,              0.0006139,              0.0006139
                     41,                0.47029,                0.21834,                0.86276,                0.98983,                0.99392,                0.99359,                0.89156,                0.56124,                0.21961,                0.92779,               0.000604,               0.000604,               0.000604
                     42,                0.46268,                0.21446,                0.86468,                0.99069,                0.99331,                0.99375,                0.89034,                0.57148,                 0.2181,                0.93296,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.4608,                0.21198,                0.86113,                0.98802,                0.99514,                0.99354,                0.89035,                   0.57,                0.21741,                0.92922,              0.0005842,              0.0005842,              0.0005842
                     44,                0.45512,                0.21073,                 0.8623,                0.98909,                0.99247,                0.99368,                0.88653,                0.57943,                 0.2175,                 0.9361,              0.0005743,              0.0005743,              0.0005743
                     45,                0.45222,                 0.2065,                0.85706,                0.99089,                0.99153,                0.99385,                 0.8888,                0.57353,                0.21924,                 0.9272,              0.0005644,              0.0005644,              0.0005644
                     46,                0.44726,                0.20795,                0.85358,                0.98851,                0.99327,                0.99363,                0.89219,                0.56886,                0.21933,                 0.9161,              0.0005545,              0.0005545,              0.0005545
                     47,                 0.4519,                0.20777,                0.85069,                0.98978,                0.99483,                0.99373,                0.89329,                0.56585,                0.21572,                 0.9031,              0.0005446,              0.0005446,              0.0005446
                     48,                0.45181,                0.20985,                0.85043,                0.98762,                 0.9941,                 0.9937,                0.89677,                0.55846,                0.21398,                0.90366,              0.0005347,              0.0005347,              0.0005347
                     49,                0.44683,                0.20696,                0.85053,                0.98955,                 0.9921,                0.99371,                0.89104,                0.56687,                0.21701,                0.91199,              0.0005248,              0.0005248,              0.0005248
                     50,                0.44704,                0.20553,                 0.8488,                0.98496,                0.99544,                0.99366,                0.89151,                0.56666,                0.21449,                 0.9144,              0.0005149,              0.0005149,              0.0005149
                     51,                0.44284,                0.20359,                0.84509,                 0.9867,                0.99453,                0.99353,                0.89363,                 0.5629,                0.21301,                0.90991,               0.000505,               0.000505,               0.000505
                     52,                0.43825,                0.19952,                 0.8491,                0.98843,                 0.9921,                0.99378,                0.89223,                0.56583,                 0.2138,                 0.9128,              0.0004951,              0.0004951,              0.0004951
                     53,                0.43475,                0.19968,                0.84751,                0.98701,                0.99544,                0.99337,                0.89076,                0.56764,                0.21484,                0.91821,              0.0004852,              0.0004852,              0.0004852
                     54,                0.43816,                0.20167,                0.84751,                0.98853,                0.99534,                0.99337,                  0.894,                 0.5622,                0.21379,                0.91683,              0.0004753,              0.0004753,              0.0004753
                     55,                0.43048,                0.19906,                0.84715,                0.98536,                0.99605,                0.99348,                0.89088,                0.56699,                0.21513,                 0.9132,              0.0004654,              0.0004654,              0.0004654
                     56,                0.43075,                0.19885,                0.84561,                0.98855,                0.99392,                 0.9934,                0.89213,                0.56776,                0.21284,                0.91191,              0.0004555,              0.0004555,              0.0004555
                     57,                  0.423,                 0.1957,                 0.8423,                 0.9906,                0.99299,                0.99322,                0.89016,                0.56868,                0.21364,                0.90512,              0.0004456,              0.0004456,              0.0004456
                     58,                0.43236,                0.20015,                0.84234,                0.98962,                 0.9921,                0.99359,                0.89056,                0.56513,                0.21268,                0.91606,              0.0004357,              0.0004357,              0.0004357
                     59,                0.42691,                0.19914,                 0.8439,                0.99031,                0.99369,                0.99347,                0.89182,                 0.5659,                0.21226,                0.91395,              0.0004258,              0.0004258,              0.0004258
                     60,                0.41749,                0.19202,                0.83776,                0.99016,                0.99422,                0.99354,                0.89198,                0.56408,                0.21041,                0.92099,              0.0004159,              0.0004159,              0.0004159
                     61,                0.42367,                0.19548,                0.84386,                0.98943,                0.99578,                0.99357,                0.89087,                0.56461,                0.21083,                0.91726,               0.000406,               0.000406,               0.000406
