               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2737,              1.1848,              1.4186,             0.97166,             0.90662,             0.94893,             0.71219,                   0,                   0,                   0,            0.067243,          0.00033088,          0.00033088
                   1,              1.2242,             0.71716,              1.4026,             0.76843,             0.90942,             0.78052,             0.58704,                   0,                   0,                   0,            0.034236,          0.00065764,          0.00065764
                   2,              1.2219,             0.72082,               1.401,            0.052029,             0.12614,            0.013514,           0.0090049,                   0,                   0,                   0,           0.0012229,           0.0009778,           0.0009778
                   3,              1.2122,             0.64297,              1.3699,             0.95749,             0.91043,             0.95076,             0.73676,                   0,                   0,                   0,           0.0009703,           0.0009703,           0.0009703
                   4,              1.1534,             0.62723,              1.3374,             0.96828,             0.92888,             0.96869,             0.74883,                   0,                   0,                   0,           0.0009703,           0.0009703,           0.0009703
                   5,              1.1436,             0.61792,              1.3395,             0.94136,             0.86049,             0.91938,             0.71499,                   0,                   0,                   0,           0.0009604,           0.0009604,           0.0009604
                   6,              1.1001,               0.589,              1.3182,             0.97614,             0.93009,             0.97294,             0.77531,                   0,                   0,                   0,           0.0009505,           0.0009505,           0.0009505
                   7,              1.0925,              0.5629,              1.3104,             0.96836,             0.94902,             0.97976,             0.79731,                   0,                   0,                   0,           0.0009406,           0.0009406,           0.0009406
                   8,               1.066,             0.54516,                 1.3,             0.96988,              0.9617,             0.98324,             0.79668,                   0,                   0,                   0,           0.0009307,           0.0009307,           0.0009307
                   9,              1.0294,              0.5386,              1.2865,             0.96681,             0.95562,             0.98027,             0.77301,                   0,                   0,                   0,           0.0009208,           0.0009208,           0.0009208
                  10,              1.0447,              0.5313,              1.2925,             0.97797,             0.93102,             0.97251,             0.78645,                   0,                   0,                   0,           0.0009109,           0.0009109,           0.0009109
                  11,              1.0246,             0.52585,              1.2784,             0.97466,             0.96353,             0.98358,              0.7922,                   0,                   0,                   0,            0.000901,            0.000901,            0.000901
                  12,              1.0111,             0.51269,              1.2699,             0.97163,             0.93009,             0.96596,             0.77133,                   0,                   0,                   0,           0.0008911,           0.0008911,           0.0008911
                  13,              0.9918,             0.49064,              1.2651,             0.97141,             0.96231,              0.9851,             0.81195,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                  14,             0.98073,             0.47878,              1.2469,             0.98255,             0.95988,              0.9845,             0.80903,                   0,                   0,                   0,           0.0008713,           0.0008713,           0.0008713
                  15,              0.9661,             0.47999,              1.2486,             0.97876,             0.95015,             0.97883,             0.78918,                   0,                   0,                   0,           0.0008614,           0.0008614,           0.0008614
                  16,             0.95933,             0.47245,              1.2492,             0.98513,             0.95106,             0.98201,             0.79838,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                  17,             0.95316,             0.45514,              1.2386,              0.9803,             0.95294,             0.98224,             0.82659,                   0,                   0,                   0,           0.0008416,           0.0008416,           0.0008416
                  18,             0.95388,             0.45793,              1.2385,             0.97664,             0.96079,             0.98629,             0.83038,                   0,                   0,                   0,           0.0008317,           0.0008317,           0.0008317
                  19,             0.95012,             0.45678,              1.2333,             0.97946,             0.97204,             0.98786,             0.82938,                   0,                   0,                   0,           0.0008218,           0.0008218,           0.0008218
                  20,             0.94072,             0.44819,              1.2336,             0.98234,             0.96079,             0.98636,             0.81596,                   0,                   0,                   0,           0.0008119,           0.0008119,           0.0008119
                  21,             0.92147,             0.44079,              1.2222,             0.97976,             0.97112,              0.9898,             0.82828,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                  22,             0.91712,             0.44102,              1.2111,             0.98337,             0.97029,             0.98875,             0.83699,                   0,                   0,                   0,           0.0007921,           0.0007921,           0.0007921
                  23,              0.9501,             0.45377,              1.2329,             0.97528,             0.96079,             0.98438,             0.82613,                   0,                   0,                   0,           0.0007822,           0.0007822,           0.0007822
                  24,             0.89704,             0.42887,              1.2171,             0.98394,              0.9685,              0.9909,             0.83747,                   0,                   0,                   0,           0.0007723,           0.0007723,           0.0007723
                  25,             0.91319,             0.43517,              1.2159,             0.98348,             0.97735,              0.9911,             0.84081,                   0,                   0,                   0,           0.0007624,           0.0007624,           0.0007624
                  26,             0.88453,             0.42379,              1.2146,             0.98431,              0.9769,             0.99002,             0.83531,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                  27,              0.8862,              0.4307,                1.21,             0.98309,             0.97217,             0.99173,             0.84206,                   0,                   0,                   0,           0.0007426,           0.0007426,           0.0007426
                  28,             0.87648,             0.41614,               1.199,              0.9863,             0.97477,             0.99063,             0.84276,                   0,                   0,                   0,           0.0007327,           0.0007327,           0.0007327
                  29,              0.9021,             0.42054,              1.2033,             0.98428,             0.97568,              0.9913,             0.83212,                   0,                   0,                   0,           0.0007228,           0.0007228,           0.0007228
                  30,             0.89911,             0.42284,              1.2016,             0.98335,              0.9696,             0.98889,             0.82371,                   0,                   0,                   0,           0.0007129,           0.0007129,           0.0007129
                  31,              0.8661,             0.41341,              1.1959,             0.98643,             0.97202,             0.98997,             0.84419,                   0,                   0,                   0,            0.000703,            0.000703,            0.000703
                  32,             0.86357,             0.40349,              1.1895,             0.98767,             0.96657,             0.98806,             0.84279,                   0,                   0,                   0,           0.0006931,           0.0006931,           0.0006931
                  33,             0.86485,             0.40041,              1.1921,             0.98107,             0.97663,             0.99098,             0.84883,                   0,                   0,                   0,           0.0006832,           0.0006832,           0.0006832
                  34,             0.86446,             0.40012,              1.1901,             0.98824,             0.97538,             0.99112,             0.85054,                   0,                   0,                   0,           0.0006733,           0.0006733,           0.0006733
                  35,             0.87134,             0.40254,              1.1882,             0.98673,             0.97152,             0.99032,             0.86235,                   0,                   0,                   0,           0.0006634,           0.0006634,           0.0006634
