                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0062,                0.87228,                 1.0272,                0.97424,                0.95897,                0.98195,                0.79071,                 0.7838,                0.42578,                0.95815,               0.067243,             0.00033088,             0.00033088
                      2,                0.84515,                0.50204,                0.96076,                0.97372,                0.95719,                0.98649,                0.79699,                0.76099,                0.42984,                 0.9508,               0.034236,             0.00065764,             0.00065764
                      3,                0.83018,                0.47802,                0.94979,                0.96877,                0.96657,                0.98806,                0.80182,                0.72974,                0.40494,                0.94441,              0.0012229,              0.0009778,              0.0009778
                      4,                0.80329,                0.46003,                0.94147,                0.97567,                0.97523,                0.99113,                0.82286,                0.71267,                0.35771,                0.92822,              0.0009703,              0.0009703,              0.0009703
                      5,                0.78275,                0.43803,                0.94316,                0.97189,                0.96292,                0.99002,                0.81581,                0.71871,                0.38263,                0.92093,              0.0009604,              0.0009604,              0.0009604
                      6,                 0.7712,                0.42753,                0.93265,                0.98092,                0.96859,                0.99151,                0.82359,                0.71238,                0.35421,                0.92584,              0.0009505,              0.0009505,              0.0009505
                      7,                0.75288,                0.41623,                0.92789,                0.97901,                0.97817,                0.99172,                0.81977,                 0.7052,                0.35934,                0.92262,              0.0009406,              0.0009406,              0.0009406
                      8,                0.73936,                0.40976,                0.92281,                0.98149,                0.96685,                0.99088,                0.78484,                0.80718,                0.35894,                0.96475,              0.0009307,              0.0009307,              0.0009307
                      9,                0.73704,                0.39889,                0.92456,                0.98511,                0.97872,                0.99235,                 0.8215,                0.73735,                0.34899,                 0.9375,              0.0009208,              0.0009208,              0.0009208
                     10,                0.72275,                0.39439,                0.91978,                0.97851,                0.97112,                0.99059,                0.83203,                0.68774,                0.33396,                0.91122,              0.0009109,              0.0009109,              0.0009109
                     11,                0.71898,                0.39054,                0.91548,                0.98087,                0.98183,                 0.9918,                0.83348,                 0.6945,                0.33409,                0.92139,               0.000901,               0.000901,               0.000901
                     12,                0.71197,                0.38082,                0.91236,                0.97651,                0.98389,                0.99217,                0.83691,                0.67467,                0.34255,                0.90737,              0.0008911,              0.0008911,              0.0008911
                     13,                0.69779,                0.37919,                0.90903,                0.97989,                0.98328,                0.99173,                0.83395,                0.68334,                0.32635,                0.91768,              0.0008812,              0.0008812,              0.0008812
                     14,                0.71259,                0.38258,                0.91172,                 0.9837,                0.97903,                0.99249,                0.85134,                0.65564,                0.31294,                 0.9023,              0.0008713,              0.0008713,              0.0008713
                     15,                0.68482,                0.36598,                 0.9015,                0.98524,                0.98298,                0.99298,                0.84391,                0.66517,                0.31775,                0.90509,              0.0008614,              0.0008614,              0.0008614
                     16,                0.68684,                0.36414,                0.90475,                0.98263,                0.98023,                 0.9924,                0.83632,                0.67758,                0.31468,                0.91262,              0.0008515,              0.0008515,              0.0008515
                     17,                0.68291,                0.36073,                0.90375,                0.98791,                0.97356,                0.99224,                0.84621,                0.65945,                0.30889,                0.90288,              0.0008416,              0.0008416,              0.0008416
                     18,                0.67956,                0.35511,                0.89898,                0.98243,                0.98555,                0.99322,                0.85133,                0.65638,                  0.302,                0.90377,              0.0008317,              0.0008317,              0.0008317
                     19,                0.67579,                0.34976,                0.90164,                0.98553,                0.98602,                0.99293,                0.84832,                0.67199,                0.30196,                0.90992,              0.0008218,              0.0008218,              0.0008218
                     20,                 0.6686,                0.35176,                0.89654,                 0.9848,                0.98632,                0.99263,                0.85059,                0.64521,                0.29686,                0.90179,              0.0008119,              0.0008119,              0.0008119
                     21,                0.66341,                0.34598,                0.89479,                0.98722,                0.98575,                 0.9931,                0.85757,                0.63689,                  0.295,                0.89102,               0.000802,               0.000802,               0.000802
                     22,                0.66557,                0.34657,                0.89974,                0.98483,                0.98694,                  0.993,                0.85888,                0.63779,                 0.2882,                0.89415,              0.0007921,              0.0007921,              0.0007921
                     23,                0.65645,                0.33756,                0.89109,                0.98405,                0.98997,                0.99322,                0.85783,                0.63787,                0.28614,                 0.8962,              0.0007822,              0.0007822,              0.0007822
                     24,                0.66121,                 0.3389,                0.89411,                0.98159,                 0.9886,                0.99283,                 0.8538,                0.64441,                0.29652,                0.89469,              0.0007723,              0.0007723,              0.0007723
                     25,                0.65063,                0.33831,                0.88768,                0.98509,                 0.9845,                0.99301,                0.85734,                 0.6457,                0.29261,                0.90342,              0.0007624,              0.0007624,              0.0007624
                     26,                0.65429,                0.33589,                0.89477,                0.98395,                0.98775,                0.99313,                0.85727,                0.63761,                0.29016,                0.89517,              0.0007525,              0.0007525,              0.0007525
                     27,                0.65516,                0.33457,                0.89043,                0.98394,                0.98541,                0.99284,                0.85461,                0.63282,                0.28755,                0.89818,              0.0007426,              0.0007426,              0.0007426
                     28,                0.64084,                 0.3296,                0.88869,                0.98867,                0.98875,                0.99338,                0.85896,                0.63188,                0.28432,                0.89644,              0.0007327,              0.0007327,              0.0007327
                     29,                0.63804,                0.32882,                0.89024,                 0.9869,                0.98541,                0.99303,                0.86306,                0.62701,                0.28147,                0.89046,              0.0007228,              0.0007228,              0.0007228
                     30,                 0.6291,                0.32382,                0.88452,                0.98693,                0.98663,                 0.9932,                0.85809,                 0.6359,                0.27783,                0.89551,              0.0007129,              0.0007129,              0.0007129
                     31,                  0.635,                0.32333,                0.88568,                 0.9858,                0.99161,                0.99334,                0.86136,                0.62497,                 0.2772,                0.88812,               0.000703,               0.000703,               0.000703
                     32,                0.62886,                0.32072,                 0.8848,                0.98402,                0.99177,                 0.9931,                0.85344,                0.64376,                0.28136,                0.89045,              0.0006931,              0.0006931,              0.0006931
                     33,                0.62446,                0.31528,                0.88446,                0.98508,                0.99271,                 0.9932,                0.86548,                0.62121,                0.27383,                0.88616,              0.0006832,              0.0006832,              0.0006832
                     34,                0.62751,                0.31692,                0.88346,                0.98252,                0.99098,                0.99303,                0.86198,                0.63451,                0.27328,                 0.8875,              0.0006733,              0.0006733,              0.0006733
                     35,                 0.6231,                0.31751,                0.87929,                0.98622,                0.98936,                0.99337,                0.86979,                0.61131,                0.26673,                0.88258,              0.0006634,              0.0006634,              0.0006634
                     36,                0.61972,                 0.3106,                0.88206,                0.98307,                0.98859,                0.99337,                0.86643,                0.61187,                0.27452,                0.88354,              0.0006535,              0.0006535,              0.0006535
                     37,                 0.6025,                0.30725,                0.87648,                 0.9876,                0.99217,                0.99347,                0.87013,                 0.6147,                0.26642,                0.88653,              0.0006436,              0.0006436,              0.0006436
                     38,                0.61411,                0.31049,                0.87847,                0.98529,                0.98754,                0.99347,                0.86948,                0.60959,                0.27274,                0.88215,              0.0006337,              0.0006337,              0.0006337
                     39,                0.61837,                0.31302,                0.88144,                0.98797,                0.98207,                0.99325,                0.84633,                0.65957,                0.28828,                0.89827,              0.0006238,              0.0006238,              0.0006238
                     40,                0.60448,                0.30602,                0.87892,                0.98846,                0.98929,                0.99364,                0.87277,                   0.61,                0.26192,                0.88158,              0.0006139,              0.0006139,              0.0006139
                     41,                0.61105,                0.30858,                0.87585,                0.98872,                 0.9857,                0.99341,                0.87379,                0.59623,                0.26739,                0.88161,               0.000604,               0.000604,               0.000604
                     42,                0.60053,                0.30457,                0.87803,                0.98668,                 0.9921,                0.99341,                0.87062,                0.60679,                0.26103,                0.88371,              0.0005941,              0.0005941,              0.0005941
                     43,                0.59862,                0.30264,                0.87358,                0.99105,                0.98754,                 0.9934,                0.87208,                0.60007,                0.26117,                0.87721,              0.0005842,              0.0005842,              0.0005842
                     44,                0.59492,                0.29766,                 0.8755,                0.98728,                0.99053,                0.99359,                0.86929,                0.61651,                0.26344,                 0.8801,              0.0005743,              0.0005743,              0.0005743
                     45,                0.59557,                0.29976,                0.87408,                0.98793,                0.98784,                0.99362,                0.87342,                0.60552,                0.26383,                0.87965,              0.0005644,              0.0005644,              0.0005644
                     46,                0.58943,                0.29585,                0.87087,                0.98487,                0.99271,                0.99351,                0.87315,                0.60171,                0.25825,                0.88324,              0.0005545,              0.0005545,              0.0005545
                     47,                0.59022,                  0.293,                 0.8694,                0.98674,                0.98936,                0.99343,                0.87338,                 0.5973,                0.25726,                 0.8771,              0.0005446,              0.0005446,              0.0005446
                     48,                0.59446,                0.29585,                0.87301,                0.98905,                 0.9882,                0.99368,                0.87318,                0.59797,                0.25777,                0.87806,              0.0005347,              0.0005347,              0.0005347
                     49,                0.58509,                0.29226,                0.87012,                0.98852,                0.98845,                0.99381,                0.86646,                0.60524,                0.25803,                 0.8849,              0.0005248,              0.0005248,              0.0005248
                     50,                0.58488,                0.29145,                0.86952,                0.98474,                0.99058,                0.99361,                0.86679,                0.60022,                0.25856,                0.88484,              0.0005149,              0.0005149,              0.0005149
                     51,                0.58604,                0.29272,                0.86822,                0.98879,                0.99159,                 0.9939,                0.87088,                0.59498,                0.25378,                0.88192,               0.000505,               0.000505,               0.000505
                     52,                0.58322,                 0.2882,                0.87204,                0.98522,                0.99286,                0.99356,                0.87171,                0.60126,                0.25638,                 0.8822,              0.0004951,              0.0004951,              0.0004951
                     53,                0.57596,                0.28491,                0.86766,                0.98957,                0.98754,                0.99352,                0.87849,                 0.5906,                0.25265,                0.87245,              0.0004852,              0.0004852,              0.0004852
                     54,                0.57704,                0.28645,                0.86584,                0.98798,                0.99149,                0.99355,                0.87437,                0.59584,                0.25384,                0.88016,              0.0004753,              0.0004753,              0.0004753
                     55,                0.56483,                0.28234,                0.86373,                0.98635,                 0.9924,                0.99363,                0.87874,                0.58405,                 0.2522,                0.87614,              0.0004654,              0.0004654,              0.0004654
                     56,                0.57111,                0.28306,                0.86593,                0.98676,                0.99088,                0.99357,                0.87139,                  0.601,                0.25484,                0.88195,              0.0004555,              0.0004555,              0.0004555
                     57,                0.56165,                0.28125,                0.86545,                 0.9871,                0.98723,                0.99382,                0.87638,                0.59132,                0.25472,                 0.8751,              0.0004456,              0.0004456,              0.0004456
                     58,                0.57176,                0.28142,                0.86297,                0.98802,                0.98845,                0.99342,                0.87839,                0.58891,                0.25058,                0.87392,              0.0004357,              0.0004357,              0.0004357
                     59,                0.56138,                 0.2789,                0.86027,                0.98607,                0.98994,                0.99353,                0.87579,                 0.5847,                0.25013,                0.87598,              0.0004258,              0.0004258,              0.0004258
                     60,                0.55268,                0.27324,                  0.855,                0.98534,                0.98936,                 0.9933,                 0.8733,                0.60026,                 0.2548,                0.87961,              0.0004159,              0.0004159,              0.0004159
                     61,                  0.562,                0.27777,                0.86377,                0.98637,                0.98997,                 0.9935,                0.87835,                0.59639,                0.25222,                 0.8791,               0.000406,               0.000406,               0.000406
                     62,                0.55139,                0.27176,                0.85949,                0.98657,                0.98875,                0.99359,                0.87468,                0.59171,                0.24973,                0.87735,              0.0003961,              0.0003961,              0.0003961
                     63,                0.55807,                0.27717,                0.86127,                0.98782,                0.99088,                0.99372,                0.88005,                0.57964,                0.24781,                0.87287,              0.0003862,              0.0003862,              0.0003862
                     64,                0.54762,                0.26902,                 0.8574,                0.98845,                0.98869,                 0.9935,                0.87851,                0.58321,                0.24733,                0.87383,              0.0003763,              0.0003763,              0.0003763
                     65,                0.55496,                0.27042,                0.85804,                0.98731,                0.99312,                0.99364,                0.87371,                0.59261,                0.24868,                0.88043,              0.0003664,              0.0003664,              0.0003664
                     66,                0.54809,                0.26862,                  0.861,                0.98898,                0.99027,                0.99374,                0.87812,                0.58906,                0.24491,                0.88013,              0.0003565,              0.0003565,              0.0003565
                     67,                0.54427,                0.27258,                0.85558,                0.98462,                0.99238,                0.99388,                0.88234,                0.58636,                0.24498,                 0.8773,              0.0003466,              0.0003466,              0.0003466
                     68,                0.53837,                 0.2653,                0.85532,                0.98818,                0.99087,                0.99379,                0.88381,                0.58388,                0.24216,                0.87452,              0.0003367,              0.0003367,              0.0003367
                     69,                0.54108,                0.26604,                0.85469,                 0.9885,                0.98936,                0.99395,                 0.8711,                0.59145,                0.24435,                0.87658,              0.0003268,              0.0003268,              0.0003268
                     70,                0.54457,                0.26768,                0.85987,                 0.9875,                0.99149,                0.99395,                0.88184,                0.58351,                0.24127,                0.87228,              0.0003169,              0.0003169,              0.0003169
                     71,                0.54786,                0.26813,                0.85762,                0.99297,                0.98697,                0.99397,                0.88273,                0.58381,                0.24019,                0.87503,               0.000307,               0.000307,               0.000307
