                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6888,                0.72198,                 1.5372,                0.91812,                 0.8515,                0.90131,                0.46593,                 1.5508,                0.56588,                  1.453,                0.06714,             0.00033192,             0.00033192
                      2,                 1.5923,                0.63573,                 1.3638,                0.92131,                0.87077,                0.91577,                0.50284,                 1.4976,                0.54919,                 1.3941,               0.034107,             0.00063232,             0.00063232
                      3,                 1.5349,                0.61932,                 1.3341,                0.93397,                0.88686,                 0.9249,                0.51244,                 1.4711,                0.54201,                 1.4108,               0.001041,             0.00089973,             0.00089973
                      4,                 1.4873,                0.61626,                 1.3172,                0.93808,                0.89122,                0.93035,                0.52634,                 1.4492,                0.54026,                 1.3734,              0.0008515,              0.0008515,              0.0008515
                      5,                   1.47,                0.60251,                 1.2988,                0.94328,                0.88982,                0.93254,                0.53794,                 1.4366,                0.52851,                 1.3649,               0.000802,               0.000802,               0.000802
                      6,                  1.427,                0.59054,                 1.2818,                 0.9346,                0.89535,                0.93229,                0.53987,                 1.4026,                 0.5283,                 1.3954,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.4096,                0.58363,                 1.2748,                 0.9478,                0.90024,                0.93966,                0.54794,                 1.3914,                0.51008,                 1.3561,               0.000703,               0.000703,               0.000703
                      8,                 1.3854,                0.56353,                 1.2645,                0.94413,                0.90053,                0.94022,                0.55554,                 1.3836,                0.50303,                 1.3362,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.3508,                0.55362,                 1.2318,                  0.949,                0.90529,                0.94277,                0.55979,                 1.3659,                0.49671,                 1.3164,               0.000604,               0.000604,               0.000604
                     10,                 1.3408,                0.55023,                 1.2326,                0.95128,                0.90732,                0.94488,                 0.5633,                 1.3635,                0.49493,                  1.339,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.3172,                 0.4944,                 1.2368,                0.94447,                0.90411,                0.94242,                0.55987,                 1.3723,                0.49308,                 1.3065,               0.000505,               0.000505,               0.000505
                     12,                 1.3037,                0.48764,                 1.2432,                0.94425,                 0.9026,                 0.9421,                0.55931,                 1.3575,                0.48642,                 1.3279,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.2889,                0.48232,                 1.2289,                0.95298,                0.91067,                 0.9465,                0.56512,                 1.3549,                0.48899,                 1.3193,               0.000406,               0.000406,               0.000406
                     14,                 1.2644,                0.48196,                 1.2233,                0.94768,                 0.9099,                0.94599,                0.56953,                 1.3428,                0.48074,                 1.3409,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.2475,                0.46592,                 1.2157,                0.95595,                0.90776,                 0.9485,                0.57688,                 1.3316,                0.47615,                 1.3059,               0.000307,               0.000307,               0.000307
                     16,                 1.2353,                0.46458,                 1.1973,                0.95086,                0.91041,                0.94846,                0.58057,                 1.3155,                0.47423,                 1.2783,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.2285,                0.45826,                 1.1875,                0.95624,                0.91125,                0.94901,                0.57629,                 1.3251,                0.47202,                 1.2867,               0.000208,               0.000208,               0.000208
                     18,                 1.2085,                0.45099,                 1.1886,                 0.9587,                0.91422,                  0.951,                0.58173,                 1.3044,                 0.4668,                 1.2814,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.1993,                0.45167,                 1.1775,                0.95692,                0.91482,                0.95071,                0.58078,                  1.304,                0.46427,                 1.2888,               0.000109,               0.000109,               0.000109
                     20,                 1.1877,                0.44328,                 1.1684,                0.95334,                0.91522,                0.94912,                0.58112,                 1.3001,                0.46113,                 1.2877,               5.95e-05,               5.95e-05,               5.95e-05
