                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49649,                0.22748,                0.86622,                0.98901,                 0.9921,                0.99357,                0.89101,                0.56744,                0.21897,                0.90533,              0.0006535,              0.0006535,              0.0006535
                     37,                0.48463,                0.22396,                0.86299,                 0.9891,                0.99261,                0.99378,                0.89011,                0.57135,                0.22006,                0.90581,              0.0006436,              0.0006436,              0.0006436
                     38,                0.48859,                0.22289,                 0.8599,                 0.9903,                0.98967,                0.99412,                0.89277,                0.56783,                0.21995,                0.89839,              0.0006337,              0.0006337,              0.0006337
                     39,                0.48374,                0.22382,                0.86404,                0.99028,                 0.9906,                0.99404,                0.89221,                0.56593,                0.22009,                0.91137,              0.0006238,              0.0006238,              0.0006238
                     40,                 0.4817,                0.22162,                0.86374,                0.98952,                0.99119,                0.99392,                0.89196,                0.57216,                0.21954,                0.91301,              0.0006139,              0.0006139,              0.0006139
                     41,                 0.4854,                0.22464,                0.85946,                0.98888,                0.98875,                0.99379,                0.89103,                0.56712,                0.22382,                0.89988,               0.000604,               0.000604,               0.000604
                     42,                0.47842,                0.21958,                 0.8578,                0.98893,                0.99331,                0.99391,                0.89242,                0.56635,                0.21791,                0.89454,              0.0005941,              0.0005941,              0.0005941
                     43,                0.47704,                0.21654,                0.85859,                 0.9877,                0.99271,                0.99397,                0.89405,                0.55854,                0.21445,                0.90396,              0.0005842,              0.0005842,              0.0005842
                     44,                0.47139,                0.21633,                0.85879,                0.98638,                0.99362,                0.99371,                0.89232,                0.56817,                0.21485,                0.89739,              0.0005743,              0.0005743,              0.0005743
                     45,                0.47159,                0.21606,                 0.8524,                0.98925,                0.99088,                0.99376,                0.89062,                0.56565,                0.21844,                0.88959,              0.0005644,              0.0005644,              0.0005644
