                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88539,                0.67693,                 1.0775,                0.96774,                0.94863,                0.98082,                0.78852,                0.76156,                0.46449,                 1.0997,               0.067243,             0.00033088,             0.00033088
                      2,                0.81654,                0.47054,                 1.0634,                0.96252,                0.93661,                0.97171,                0.75007,                0.85781,                0.60948,                 1.2151,               0.034236,             0.00065764,             0.00065764
                      3,                0.80599,                0.46859,                 1.0547,                0.96553,                0.95137,                 0.9831,                0.78948,                0.77056,                0.48787,                 1.0959,              0.0012229,              0.0009778,              0.0009778
                      4,                0.80488,                0.45233,                 1.0494,                0.97922,                0.95942,                0.98718,                0.80666,                0.73107,                0.37987,                 1.0798,              0.0009703,              0.0009703,              0.0009703
                      5,                0.77723,                0.42892,                 1.0423,                0.97925,                0.94667,                0.97897,                 0.8035,                0.73302,                0.42656,                 1.0699,              0.0009604,              0.0009604,              0.0009604
                      6,                0.74813,                0.40778,                 1.0186,                0.97549,                0.96809,                0.98878,                0.78594,                0.79954,                0.38622,                 1.1516,              0.0009505,              0.0009505,              0.0009505
                      7,                0.74332,                 0.4034,                 1.0115,                0.97754,                0.96559,                0.98827,                0.81987,                0.69624,                0.37118,                 1.0364,              0.0009406,              0.0009406,              0.0009406
                      8,                0.72949,                0.39095,                 1.0079,                0.37533,                0.78822,                0.35004,                 0.2797,                0.87833,                 6.6044,                 1.2316,              0.0009307,              0.0009307,              0.0009307
                      9,                0.72366,                0.38334,                 1.0115,                0.98438,                0.97708,                0.99255,                0.81836,                 0.7241,                 0.3364,                 1.0708,              0.0009208,              0.0009208,              0.0009208
                     10,                0.71022,                 0.3777,                 1.0054,                 0.9855,                0.97076,                 0.9909,                0.83752,                0.69251,                0.32859,                 1.0401,              0.0009109,              0.0009109,              0.0009109
                     11,                0.71052,                0.36469,                 1.0018,                 0.9867,                0.97325,                0.99245,                0.83417,                0.70228,                0.32106,                 1.0571,               0.000901,               0.000901,               0.000901
                     12,                0.70537,                0.35802,                 0.9868,                0.98324,                 0.9809,                0.99294,                0.83056,                0.69351,                0.31646,                 1.0375,              0.0008911,              0.0008911,              0.0008911
                     13,                0.69412,                0.35989,                0.98759,                 0.9791,                0.98242,                 0.9921,                0.83146,                0.68402,                0.31287,                 1.0297,              0.0008812,              0.0008812,              0.0008812
                     14,                0.68736,                0.35878,                0.98475,                0.98065,                0.98085,                0.99277,                0.83478,                0.68408,                0.31091,                  1.035,              0.0008713,              0.0008713,              0.0008713
                     15,                0.67525,                0.34631,                0.97778,                0.98241,                0.98473,                0.99249,                0.83935,                0.67257,                0.30232,                 1.0276,              0.0008614,              0.0008614,              0.0008614
                     16,                0.68049,                0.34538,                0.98743,                 0.9809,                0.98571,                0.99245,                0.84857,                0.65135,                  0.296,                 1.0178,              0.0008515,              0.0008515,              0.0008515
                     17,                 0.6715,                0.34461,                0.97077,                0.98514,                0.97933,                0.99303,                0.83958,                0.67169,                0.30474,                 0.9963,              0.0008416,              0.0008416,              0.0008416
