                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88413,                0.67879,                 1.0807,                0.95604,                0.93435,                0.97338,                0.76846,                0.79441,                0.52458,                 1.1521,               0.067243,             0.00033088,             0.00033088
                      2,                 0.8168,                0.47618,                 1.0472,                0.96409,                  0.931,                0.97303,                 0.7505,                0.85911,                0.48087,                 1.1664,               0.034236,             0.00065764,             0.00065764
                      3,                0.80619,                0.45156,                 1.0392,                0.95946,                0.94225,                0.97763,                0.78257,                0.78927,                 0.4819,                 1.1127,              0.0012229,              0.0009778,              0.0009778
                      4,                 0.8044,                0.45448,                 1.0346,                0.97447,                0.96383,                0.98867,                0.77204,                0.80784,                0.42611,                 1.1545,              0.0009703,              0.0009703,              0.0009703
                      5,                0.77507,                0.42681,                 1.0345,                0.97333,                0.97021,                0.98731,                0.81298,                0.71908,                0.37759,                 1.0677,              0.0009604,              0.0009604,              0.0009604
                      6,                0.75578,                0.40483,                   1.02,                0.97821,                0.96865,                0.98996,                0.80825,                 0.7127,                0.36401,                 1.0682,              0.0009505,              0.0009505,              0.0009505
                      7,                0.74512,                0.40202,                 1.0069,                  0.978,                0.97292,                 0.9911,                 0.8095,                0.72049,                0.35395,                 1.0467,              0.0009406,              0.0009406,              0.0009406
                      8,                0.72887,                0.39348,                 1.0024,                0.97729,                0.98112,                0.99219,                 0.8249,                0.70969,                0.33253,                 1.0499,              0.0009307,              0.0009307,              0.0009307
                      9,                 0.7126,                0.37711,                0.99971,                0.98463,                0.97353,                0.99237,                0.82013,                0.71299,                0.35494,                  1.056,              0.0009208,              0.0009208,              0.0009208
                     10,                0.70476,                0.36855,                0.99972,                0.98569,                0.97386,                0.99208,                0.83184,                0.69037,                0.31895,                 1.0401,              0.0009109,              0.0009109,              0.0009109
                     11,                0.70348,                0.36194,                0.99108,                0.98253,                0.97812,                 0.9922,                 0.8393,                0.66982,                0.31774,                 1.0251,               0.000901,               0.000901,               0.000901
                     12,                0.69569,                0.35477,                0.97827,                0.98614,                0.97343,                0.99205,                0.82624,                0.70088,                0.31526,                 1.0334,              0.0008911,              0.0008911,              0.0008911
                     13,                0.68326,                 0.3527,                0.97824,                0.98167,                0.97781,                0.99246,                0.84064,                0.66835,                0.31102,                 1.0261,              0.0008812,              0.0008812,              0.0008812
                     14,                0.68777,                0.35411,                0.98217,                0.98412,                 0.9798,                0.99273,                0.84914,                0.65818,                0.30462,                 1.0133,              0.0008713,              0.0008713,              0.0008713
                     15,                0.67059,                0.34286,                0.96326,                0.98623,                0.97812,                0.99277,                0.83796,                0.69888,                0.30797,                 1.0248,              0.0008614,              0.0008614,              0.0008614
                     16,                0.67325,                0.34133,                0.97381,                0.97936,                0.98073,                0.99263,                0.84321,                 0.6554,                0.30297,                 1.0272,              0.0008515,              0.0008515,              0.0008515
                     17,                0.66468,                0.33918,                0.96537,                0.98878,                0.98055,                0.99334,                 0.8468,                0.65514,                0.28643,                0.99238,              0.0008416,              0.0008416,              0.0008416
                     18,                0.65632,                0.32737,                0.96262,                0.98353,                0.98906,                0.99333,                0.85563,                0.64843,                0.28912,                0.99619,              0.0008317,              0.0008317,              0.0008317
                     19,                0.65217,                0.32645,                0.95818,                0.98335,                 0.9871,                0.99304,                0.83625,                0.68305,                0.30949,                0.99813,              0.0008218,              0.0008218,              0.0008218
                     20,                0.64834,                0.32662,                0.94377,                0.98913,                0.98511,                  0.993,                  0.844,                 0.6571,                0.29417,                  1.014,              0.0008119,              0.0008119,              0.0008119
                     21,                0.64526,                0.32303,                0.95386,                0.98634,                 0.9876,                0.99356,                 0.8639,                0.63392,                0.27774,                0.97732,               0.000802,               0.000802,               0.000802
                     22,                0.63451,                0.32306,                0.95059,                0.98811,                0.98521,                0.99308,                0.85382,                0.64239,                0.28697,                0.99722,              0.0007921,              0.0007921,              0.0007921
                     23,                0.63382,                0.31905,                0.94957,                0.98873,                0.98602,                0.99336,                0.85039,                 0.6607,                0.27619,                 1.0078,              0.0007822,              0.0007822,              0.0007822
                     24,                0.63579,                 0.3142,                 0.9536,                0.98127,                0.98755,                0.99284,                0.85477,                 0.6338,                0.28109,                0.98765,              0.0007723,              0.0007723,              0.0007723
                     25,                0.62194,                0.30708,                0.93726,                0.98339,                0.98945,                 0.9933,                0.85848,                0.63315,                0.27039,                0.98346,              0.0007624,              0.0007624,              0.0007624
                     26,                0.63158,                0.31118,                 0.9408,                0.98729,                0.99125,                0.99324,                0.85861,                0.63956,                0.27736,                0.97851,              0.0007525,              0.0007525,              0.0007525
