               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.2565,              1.1451,              1.4147,             0.85248,             0.88353,             0.89605,              0.6961,                   0,                   0,                   0,            0.067243,          0.00033088,          0.00033088
                   1,              1.2267,             0.71549,              1.3925,             0.95155,             0.93133,             0.96527,             0.72428,                   0,                   0,                   0,            0.034236,          0.00065764,          0.00065764
                   2,              1.2152,             0.71448,              1.4017,             0.93126,             0.79422,             0.83085,             0.61116,                   0,                   0,                   0,           0.0012229,           0.0009778,           0.0009778
                   3,              1.1831,              0.6528,              1.3467,             0.96311,             0.92051,              0.9652,              0.7449,                   0,                   0,                   0,           0.0009703,           0.0009703,           0.0009703
                   4,              1.1629,             0.63921,              1.3409,             0.96416,             0.91246,              0.9583,             0.73708,                   0,                   0,                   0,           0.0009703,           0.0009703,           0.0009703
                   5,              1.1543,             0.62556,              1.3394,             0.96772,             0.93841,             0.97344,             0.76866,                   0,                   0,                   0,           0.0009604,           0.0009604,           0.0009604
                   6,              1.0963,             0.58442,               1.319,             0.95984,             0.93009,             0.97171,             0.77207,                   0,                   0,                   0,           0.0009505,           0.0009505,           0.0009505
                   7,              1.1208,              0.5757,              1.3209,              0.9604,             0.91411,             0.95656,             0.69977,                   0,                   0,                   0,           0.0009406,           0.0009406,           0.0009406
                   8,              1.0786,             0.54611,              1.3069,             0.97838,             0.93525,             0.97064,             0.78342,                   0,                   0,                   0,           0.0009307,           0.0009307,           0.0009307
                   9,              1.0441,             0.54859,              1.2956,             0.97226,             0.94164,             0.97682,             0.75998,                   0,                   0,                   0,           0.0009208,           0.0009208,           0.0009208
                  10,              1.0372,              0.5311,              1.2896,             0.96987,             0.94906,             0.97665,             0.78422,                   0,                   0,                   0,           0.0009109,           0.0009109,           0.0009109
                  11,              1.0222,             0.52458,              1.2787,             0.97243,             0.95137,             0.98256,             0.79655,                   0,                   0,                   0,            0.000901,            0.000901,            0.000901
                  12,              1.0312,             0.51479,              1.2814,             0.97037,             0.96869,             0.98463,             0.80309,                   0,                   0,                   0,           0.0008911,           0.0008911,           0.0008911
                  13,              1.0027,             0.49555,              1.2681,             0.97946,              0.9535,             0.98166,             0.79441,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                  14,             0.99792,             0.49427,              1.2528,             0.97699,              0.9681,             0.98905,             0.80872,                   0,                   0,                   0,           0.0008713,           0.0008713,           0.0008713
                  15,             0.97909,             0.49644,              1.2544,             0.98034,             0.95684,              0.9778,             0.78029,                   0,                   0,                   0,           0.0008614,           0.0008614,           0.0008614
                  16,             0.96794,             0.48057,               1.257,             0.97763,             0.96983,             0.98833,             0.80934,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                  17,             0.96883,             0.46966,              1.2492,             0.98476,             0.96235,             0.98874,             0.81957,                   0,                   0,                   0,           0.0008416,           0.0008416,           0.0008416
                  18,               0.963,             0.47031,              1.2438,              0.9789,             0.95714,             0.98014,             0.81336,                   0,                   0,                   0,           0.0008317,           0.0008317,           0.0008317
                  19,             0.96245,             0.46588,              1.2413,             0.97938,             0.96505,             0.98873,              0.8244,                   0,                   0,                   0,           0.0008218,           0.0008218,           0.0008218
                  20,             0.95548,             0.47126,              1.2427,             0.97762,             0.96944,             0.98994,             0.82588,                   0,                   0,                   0,           0.0008119,           0.0008119,           0.0008119
                  21,             0.93982,             0.45549,              1.2344,             0.98237,             0.96531,             0.98924,             0.82313,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                  22,             0.92553,             0.45215,              1.2168,             0.98513,             0.96658,             0.98522,             0.82132,                   0,                   0,                   0,           0.0007921,           0.0007921,           0.0007921
                  23,             0.94511,             0.45919,              1.2325,             0.98163,             0.97021,             0.98632,              0.8225,                   0,                   0,                   0,           0.0007822,           0.0007822,           0.0007822
                  24,             0.91372,             0.44146,              1.2285,             0.98284,               0.969,             0.98853,             0.83619,                   0,                   0,                   0,           0.0007723,           0.0007723,           0.0007723
                  25,             0.93441,              0.4579,              1.2292,             0.98176,               0.965,             0.98761,             0.81853,                   0,                   0,                   0,           0.0007624,           0.0007624,           0.0007624
                  26,             0.89885,             0.43108,              1.2226,             0.98147,             0.97477,             0.99116,             0.84256,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                  27,             0.89682,              0.4292,              1.2157,             0.97501,             0.96044,             0.98688,             0.82943,                   0,                   0,                   0,           0.0007426,           0.0007426,           0.0007426
                  28,             0.89601,             0.42987,              1.2112,             0.98474,             0.97173,             0.98932,             0.80233,                   0,                   0,                   0,           0.0007327,           0.0007327,           0.0007327
                  29,             0.90534,             0.42532,              1.2108,             0.98411,             0.96687,             0.98885,             0.84761,                   0,                   0,                   0,           0.0007228,           0.0007228,           0.0007228
                  30,             0.91499,             0.42773,              1.2138,             0.98305,              0.9693,             0.98978,             0.84198,                   0,                   0,                   0,           0.0007129,           0.0007129,           0.0007129
                  31,             0.88389,             0.42007,              1.2066,             0.98572,             0.96531,             0.98866,             0.83304,                   0,                   0,                   0,            0.000703,            0.000703,            0.000703
                  32,             0.88471,             0.41664,              1.2002,             0.98346,             0.97598,             0.99101,             0.83958,                   0,                   0,                   0,           0.0006931,           0.0006931,           0.0006931
                  33,             0.88123,             0.41548,              1.2025,             0.98215,             0.96999,             0.99094,             0.84797,                   0,                   0,                   0,           0.0006832,           0.0006832,           0.0006832
                  34,             0.87702,              0.4115,              1.1983,             0.98526,             0.97546,              0.9909,             0.84512,                   0,                   0,                   0,           0.0006733,           0.0006733,           0.0006733
                  35,             0.89003,             0.41515,              1.2005,             0.98528,             0.97416,             0.99125,             0.85062,                   0,                   0,                   0,           0.0006634,           0.0006634,           0.0006634
                  36,              0.8757,             0.41329,              1.2015,             0.98253,             0.97437,             0.99113,               0.845,                   0,                   0,                   0,           0.0006535,           0.0006535,           0.0006535
                  37,             0.87931,             0.41143,              1.2015,              0.9843,             0.97174,             0.99049,             0.83756,                   0,                   0,                   0,           0.0006436,           0.0006436,           0.0006436
                  38,             0.86302,              0.4079,              1.1973,             0.98281,             0.97311,             0.99084,             0.83708,                   0,                   0,                   0,           0.0006337,           0.0006337,           0.0006337
                  39,             0.84616,             0.40267,              1.1916,             0.98654,             0.97629,              0.9922,             0.85336,                   0,                   0,                   0,           0.0006238,           0.0006238,           0.0006238
                  40,             0.85513,             0.40005,              1.1893,             0.98766,             0.97325,              0.9915,             0.85586,                   0,                   0,                   0,           0.0006139,           0.0006139,           0.0006139
                  41,             0.85075,             0.40601,              1.1879,             0.98642,             0.97142,             0.99071,             0.84955,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  42,             0.85048,             0.41626,              1.1917,             0.98444,             0.98093,             0.99173,             0.84973,                   0,                   0,                   0,           0.0005941,           0.0005941,           0.0005941
                  43,             0.85755,             0.39892,              1.1874,             0.98456,               0.969,             0.98799,             0.83205,                   0,                   0,                   0,           0.0005842,           0.0005842,           0.0005842
                  44,             0.83087,             0.38798,              1.1847,             0.98294,             0.98047,             0.99175,             0.85268,                   0,                   0,                   0,           0.0005743,           0.0005743,           0.0005743
                  45,             0.82311,             0.38875,              1.1803,             0.98693,             0.98055,             0.99141,             0.85341,                   0,                   0,                   0,           0.0005644,           0.0005644,           0.0005644
                  46,             0.83378,             0.39073,              1.1773,             0.98278,             0.97143,             0.98972,             0.84974,                   0,                   0,                   0,           0.0005545,           0.0005545,           0.0005545
                  47,             0.82638,             0.38186,              1.1775,             0.98406,              0.9758,             0.99175,             0.85334,                   0,                   0,                   0,           0.0005446,           0.0005446,           0.0005446
                  48,             0.82196,             0.38102,               1.173,             0.98404,             0.97453,             0.99214,             0.86093,                   0,                   0,                   0,           0.0005347,           0.0005347,           0.0005347
                  49,             0.82937,             0.38227,              1.1726,             0.98195,             0.97356,             0.99149,             0.85379,                   0,                   0,                   0,           0.0005248,           0.0005248,           0.0005248
                  50,              0.8385,             0.38938,              1.1841,             0.98591,              0.9784,             0.99164,             0.85006,                   0,                   0,                   0,           0.0005149,           0.0005149,           0.0005149
                  51,             0.82069,             0.38633,              1.1786,             0.98443,             0.97994,             0.99231,             0.86003,                   0,                   0,                   0,            0.000505,            0.000505,            0.000505
                  52,             0.81083,             0.38658,              1.1616,             0.99045,             0.97769,             0.99215,             0.86125,                   0,                   0,                   0,           0.0004951,           0.0004951,           0.0004951
                  53,             0.79589,             0.36986,              1.1668,             0.98369,             0.89149,               0.927,             0.77494,                   0,                   0,                   0,           0.0004852,           0.0004852,           0.0004852
                  54,             0.81465,             0.37418,              1.1728,             0.98689,             0.97903,             0.99185,             0.86622,                   0,                   0,                   0,           0.0004753,           0.0004753,           0.0004753
                  55,             0.79373,             0.37133,              1.1594,              0.9862,             0.98207,             0.99231,             0.86423,                   0,                   0,                   0,           0.0004654,           0.0004654,           0.0004654
                  56,             0.79725,             0.36767,              1.1616,             0.98532,             0.97912,             0.99278,             0.87187,                   0,                   0,                   0,           0.0004555,           0.0004555,           0.0004555
                  57,              0.7908,              0.3675,              1.1588,             0.98894,             0.97855,             0.99268,             0.86692,                   0,                   0,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,             0.79499,             0.36392,              1.1613,             0.98778,             0.97204,             0.99137,             0.85844,                   0,                   0,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,             0.80584,             0.36761,              1.1647,             0.98357,             0.98272,             0.99269,             0.86726,                   0,                   0,                   0,           0.0004258,           0.0004258,           0.0004258
                  60,             0.79352,             0.36513,              1.1602,             0.98809,             0.97508,             0.99182,             0.86568,                   0,                   0,                   0,           0.0004159,           0.0004159,           0.0004159
                  61,             0.78557,             0.35986,              1.1543,             0.98651,             0.97766,             0.99232,             0.86967,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  62,              0.7942,             0.35804,              1.1592,              0.9871,             0.97675,             0.99229,             0.86548,                   0,                   0,                   0,           0.0003961,           0.0003961,           0.0003961
                  63,             0.79331,             0.35872,              1.1581,             0.98829,             0.97751,             0.99246,             0.87172,                   0,                   0,                   0,           0.0003862,           0.0003862,           0.0003862
                  64,              0.7926,             0.35359,              1.1583,              0.9857,             0.98419,             0.99268,             0.87163,                   0,                   0,                   0,           0.0003763,           0.0003763,           0.0003763
                  65,             0.77139,             0.35248,              1.1491,             0.98486,             0.98146,             0.99227,             0.86669,                   0,                   0,                   0,           0.0003664,           0.0003664,           0.0003664
                  66,             0.76224,             0.35333,              1.1482,             0.98688,             0.98341,             0.99233,             0.86752,                   0,                   0,                   0,           0.0003565,           0.0003565,           0.0003565
                  67,             0.75223,             0.34435,              1.1539,             0.98763,             0.98116,             0.99238,             0.87445,                   0,                   0,                   0,           0.0003466,           0.0003466,           0.0003466
                  68,             0.76252,             0.35178,              1.1497,             0.98187,             0.98764,             0.99258,             0.87479,                   0,                   0,                   0,           0.0003367,           0.0003367,           0.0003367
                  69,             0.76204,             0.35063,              1.1479,             0.98509,             0.98431,             0.99296,             0.87322,                   0,                   0,                   0,           0.0003268,           0.0003268,           0.0003268
                  70,             0.74991,             0.33975,              1.1442,             0.98867,             0.98137,             0.99268,              0.8704,                   0,                   0,                   0,           0.0003169,           0.0003169,           0.0003169
                  71,              0.7474,              0.3373,               1.138,              0.9866,             0.98495,             0.99259,             0.88023,                   0,                   0,                   0,            0.000307,            0.000307,            0.000307
