                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88506,                0.72994,                 1.0842,                0.94174,                 0.9231,                0.96661,                0.77375,                0.78659,                 0.5287,                 1.1566,               0.067243,             0.00033088,             0.00033088
                      2,                0.80872,                0.47712,                 1.0682,                0.96535,                0.95319,                0.98227,                0.75988,                0.85766,                0.55579,                 1.2334,               0.034236,             0.00065764,             0.00065764
                      3,                0.80145,                0.46359,                 1.0631,                0.96825,                0.93465,                0.96063,                0.77295,                0.78884,                 1.4752,                 1.1348,              0.0012229,              0.0009778,              0.0009778
                      4,                0.80427,                0.44442,                 1.0603,                0.97946,                0.94377,                0.97194,                0.79192,                0.76225,                 0.4236,                 1.1288,              0.0009703,              0.0009703,              0.0009703
                      5,                0.77578,                0.42895,                 1.0564,                0.97994,                0.96522,                0.98965,                0.81392,                0.73047,                0.36872,                 1.0876,              0.0009604,              0.0009604,              0.0009604
                      6,                0.74934,                0.40653,                 1.0299,                0.96854,                0.94512,                0.97769,                0.79382,                0.76673,                 0.4169,                 1.1239,              0.0009505,              0.0009505,              0.0009505
                      7,                0.74187,                0.39956,                 1.0239,                0.97906,                0.97021,                0.99022,                0.81545,                0.71458,                0.38522,                 1.0718,              0.0009406,              0.0009406,              0.0009406
                      8,                0.74169,                 0.3957,                 1.0247,                0.97589,                0.95955,                0.98556,                0.77582,                 0.7967,                0.38743,                 1.1305,              0.0009307,              0.0009307,              0.0009307
                      9,                0.71663,                0.38112,                 1.0188,                0.98645,                0.97477,                0.99096,                0.82987,                0.69746,                0.34036,                 1.0673,              0.0009208,              0.0009208,              0.0009208
                     10,                0.69803,                0.36758,                 1.0076,                0.98147,                0.97447,                0.99158,                0.83277,                0.67733,                0.31747,                 1.0473,              0.0009109,              0.0009109,              0.0009109
