               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.70447,              0.3173,              1.0649,             0.99032,             0.99529,               0.994,             0.89709,                   0,                   0,                   0,            0.067243,          0.00033088,          0.00033088
                   1,             0.67505,             0.30885,              1.0545,                0.99,             0.99331,             0.99403,             0.89462,                   0,                   0,                   0,            0.034216,          0.00063791,          0.00063791
                   2,             0.66322,               0.304,              1.0541,             0.98971,             0.99574,             0.99373,             0.89446,                   0,                   0,                   0,           0.0011636,          0.00091854,          0.00091854
                   3,             0.67278,             0.30925,              1.0532,             0.99217,             0.99362,              0.9937,             0.89362,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                   4,             0.67787,             0.31248,              1.0578,             0.99241,             0.99339,             0.99389,             0.89191,                   0,                   0,                   0,           0.0008812,           0.0008812,           0.0008812
                   5,             0.67117,              0.3108,              1.0554,             0.99127,              0.9921,             0.99329,             0.89026,                   0,                   0,                   0,           0.0008416,           0.0008416,           0.0008416
                   6,             0.67129,             0.30886,              1.0529,               0.993,             0.99146,             0.99353,              0.8914,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                   7,             0.68194,             0.31547,              1.0544,              0.9909,             0.99288,             0.99379,             0.89207,                   0,                   0,                   0,           0.0007624,           0.0007624,           0.0007624
                   8,             0.66755,             0.30852,               1.049,             0.98973,             0.99088,             0.99337,             0.88754,                   0,                   0,                   0,           0.0007228,           0.0007228,           0.0007228
                   9,             0.65795,             0.30631,              1.0436,             0.99229,              0.9921,             0.99381,             0.89129,                   0,                   0,                   0,           0.0006832,           0.0006832,           0.0006832
                  10,             0.66644,             0.30783,              1.0445,             0.99242,             0.99481,             0.99353,             0.89106,                   0,                   0,                   0,           0.0006436,           0.0006436,           0.0006436
                  11,             0.66753,             0.30688,              1.0523,             0.99128,              0.9924,             0.99397,             0.89395,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  12,             0.66967,             0.30716,              1.0499,             0.99061,             0.99354,             0.99372,              0.8924,                   0,                   0,                   0,           0.0005644,           0.0005644,           0.0005644
                  13,             0.66213,             0.30432,              1.0473,             0.98912,             0.99452,             0.99369,             0.89424,                   0,                   0,                   0,           0.0005248,           0.0005248,           0.0005248
                  14,             0.65318,              0.2996,              1.0502,             0.99015,             0.99271,             0.99393,             0.89459,                   0,                   0,                   0,           0.0004852,           0.0004852,           0.0004852
                  15,             0.66708,             0.30419,              1.0565,             0.99178,             0.99064,             0.99372,             0.89048,                   0,                   0,                   0,           0.0004456,           0.0004456,           0.0004456
                  16,             0.65783,             0.30146,              1.0506,             0.99085,              0.9924,             0.99377,             0.89341,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  17,             0.65187,             0.29742,               1.048,             0.98882,             0.99449,             0.99388,             0.89581,                   0,                   0,                   0,           0.0003664,           0.0003664,           0.0003664
                  18,             0.63778,             0.29033,              1.0506,             0.98773,             0.99483,             0.99379,              0.8952,                   0,                   0,                   0,           0.0003268,           0.0003268,           0.0003268
                  19,              0.6519,             0.29703,              1.0507,             0.98791,             0.99332,             0.99375,             0.89435,                   0,                   0,                   0,           0.0002872,           0.0002872,           0.0002872
                  20,             0.66463,              0.2989,              1.0559,             0.98818,             0.99483,             0.99373,             0.89548,                   0,                   0,                   0,           0.0002476,           0.0002476,           0.0002476
                  21,             0.65617,             0.29733,              1.0528,             0.98787,             0.99574,             0.99386,              0.8973,                   0,                   0,                   0,            0.000208,            0.000208,            0.000208
                  22,             0.65119,             0.29312,              1.0478,              0.9924,             0.99198,             0.99384,             0.89703,                   0,                   0,                   0,           0.0001684,           0.0001684,           0.0001684
                  23,             0.66992,             0.30012,              1.0564,             0.98882,             0.99484,             0.99365,             0.89689,                   0,                   0,                   0,           0.0001288,           0.0001288,           0.0001288
                  24,              0.6759,             0.29898,              1.0627,             0.99179,              0.9916,             0.99369,             0.89761,                   0,                   0,                   0,            8.92e-05,            8.92e-05,            8.92e-05
