Image,Point,Latitude,Longitude,Object Type,Coordinates,Confidence Score,Bounding Box Center,Normalized Bounding Box Center
/gdrive/MyDrive/IST.tif,51,41.256742628,28.737062854,plane,"[1914.981201171875, 6194.0576171875, 2077.4267578125, 6384.54248046875]",0.86684650182724,"[1996.2039794921875, 6289.300048828125]","[0.25510593987120606, 0.9653568762591136]"
/gdrive/MyDrive/IST.tif,52,41.261224818,28.748644287,plane,"[6069.29345703125, 4069.513671875, 6240.26220703125, 4226.37060546875]",0.8663769364356995,"[6154.77783203125, 4147.942138671875]","[0.7865530775758786, 0.6366756928122602]"
/gdrive/MyDrive/IST.tif,53,41.25732567,28.74840594,plane,"[5998.66552734375, 5937.57861328125, 6139.72265625, 6083.9267578125]",0.8655670881271362,"[6069.194091796875, 6010.752685546875]","[0.7756158583765974, 0.9226021006211627]"
/gdrive/MyDrive/IST.tif,54,41.257311478,28.749414226,plane,"[6353.3212890625, 5932.05322265625, 6509.162109375, 6103.01220703125]",0.8642742037773132,"[6431.24169921875, 6017.53271484375]","[0.8218839232228434, 0.9236427804825403]"
/gdrive/MyDrive/IST.tif,55,41.257017763,28.736505254,plane,"[1718.0244140625, 6076.1484375, 1873.9459228515625, 6239.560546875]",0.8628904819488525,"[1795.9851684570312, 6157.8544921875]","[0.2295188713683107, 0.9451810425460476]"
/gdrive/MyDrive/IST.tif,56,41.260396533,28.749009911,plane,"[6200.873046875, 4464.546875, 6371.25390625, 4622.7607421875]",0.8579514026641846,"[6286.0634765625, 4543.65380859375]","[0.8033307957268371, 0.6974142453712586]"
/gdrive/MyDrive/IST.tif,57,41.256943128,28.747940583,plane,"[5822.373046875, 6101.0498046875, 5981.8212890625, 6285.97265625]",0.8556592464447021,"[5902.09716796875, 6193.51123046875]","[0.7542616189097444, 0.9506540645385648]"
/gdrive/MyDrive/IST.tif,58,41.261681715,28.74880727,plane,"[6120.677734375, 3853.419921875, 6305.923828125, 4005.900390625]",0.8554148077964783,"[6213.30078125, 3929.66015625]","[0.7940320487220447, 0.6031711674980813]"
/gdrive/MyDrive/IST.tif,59,41.263331975,28.739303357,plane,"[2725.66357421875, 3043.45703125, 2875.75, 3239.046142578125]",0.849966824054718,"[2800.706787109375, 3141.2515869140625]","[0.3579178002695687, 0.4821568053590272]"
/gdrive/MyDrive/IST.tif,60,41.263400896,28.744648307,plane,"[4643.26416015625, 3019.409423828125, 4796.5986328125, 3197.23974609375]",0.8491203784942627,"[4719.931396484375, 3108.3245849609375]","[0.6031861209564696, 0.4771027758957694]"
/gdrive/MyDrive/IST.tif,61,41.263387674,28.740834039,plane,"[3281.148681640625, 3032.618408203125, 3419.516357421875, 3196.6650390625]",0.8406194448471069,"[3350.33251953125, 3114.6417236328125]","[0.4281575104832268, 0.4780724057763335]"
/gdrive/MyDrive/IST.tif,62,41.264023409,28.735300058,plane,"[1269.3536376953125, 2727.78125, 1457.1107177734375, 2894.059814453125]",0.8379649519920349,"[1363.232177734375, 2810.9205322265625]","[0.17421497479033546, 0.4314536503801324]"
/gdrive/MyDrive/IST.tif,63,41.26348095,28.746188659,plane,"[5198.65966796875, 2987.366455078125, 5347.3994140625, 3152.7919921875]",0.8372094631195068,"[5273.029541015625, 3070.0792236328125]","[0.6738695899061502, 0.47123242112552766]"
/gdrive/MyDrive/IST.tif,64,41.267280922,28.737508201,plane,"[2064.719482421875, 1177.553466796875, 2247.511962890625, 1331.745849609375]",0.8362599611282349,"[2156.11572265625, 1254.649658203125]","[0.2755419453873802, 0.19257861215704145]"
/gdrive/MyDrive/IST.tif,65,41.263160002,28.735697862,plane,"[1407.4781494140625, 3134.97021484375, 1604.667724609375, 3311.852294921875]",0.8341663479804993,"[1506.0729370117188, 3223.4112548828125]","[0.1924693849216254, 0.49476765232276476]"
/gdrive/MyDrive/IST.tif,66,41.263336001,28.749161106,plane,"[6254.18505859375, 3058.9775390625, 6426.52197265625, 3219.678955078125]",0.8339429497718811,"[6340.353515625, 3139.3282470703125]","[0.8102688198881789, 0.4818615881919129]"
/gdrive/MyDrive/IST.tif,67,41.263442371,28.744082196,plane,"[4437.8583984375, 2992.09228515625, 4595.45458984375, 3184.927978515625]",0.8194453716278076,"[4516.656494140625, 3088.5101318359375]","[0.577208497653754, 0.47406141701242327]"
/gdrive/MyDrive/IST.tif,68,41.264141224,28.743650474,plane,"[4280.2900390625, 2672.92431640625, 4442.984375, 2836.34423828125]",0.8178979754447937,"[4361.63720703125, 2754.63427734375]","[0.557397726138179, 0.4228141638286646]"
/gdrive/MyDrive/IST.tif,69,41.263736014,28.743721769,plane,"[4307.6416015625, 2879.983642578125, 4466.83251953125, 3016.46240234375]",0.8176296353340149,"[4387.237060546875, 2948.2230224609375]","[0.5606692729133387, 0.45252847620275327]"
/gdrive/MyDrive/IST.tif,70,41.268514047,28.7327205,plane,"[334.4327087402344, 579.85498046875, 539.5357055664062, 751.198486328125]",0.8075522184371948,"[436.9842071533203, 665.5267333984375]","[0.05584462711224541, 0.10215299054465656]"
/gdrive/MyDrive/IST.tif,71,41.26721922,28.74120432,plane,"[3379.42236328125, 1191.8779296875, 3587.158447265625, 1376.3778076171875]",0.8059846758842468,"[3483.2904052734375, 1284.1278686523438]","[0.44514893358126995, 0.19710327991593918]"
/gdrive/MyDrive/IST.tif,72,41.264653565,28.738145617,plane,"[2292.141357421875, 2430.728271484375, 2477.84716796875, 2589.0009765625]",0.8025461435317993,"[2384.9942626953125, 2509.8646240234375]","[0.3047915990664936, 0.38524399447788754]"
/gdrive/MyDrive/IST.tif,73,41.265545313,28.734663633,plane,"[1051.906005859375, 2009.2415771484375, 1217.513427734375, 2158.426025390625]",0.7915738224983215,"[1134.709716796875, 2083.8338012695312]","[0.14501082642771565, 0.3198516962808183]"
/gdrive/MyDrive/IST.tif,74,41.258263902,28.749965551,plane,"[6546.66455078125, 5494.3095703125, 6711.75048828125, 5630.71826171875]",0.7901235222816467,"[6629.20751953125, 5562.513916015625]","[0.8471830695886582, 0.8538010615526669]"
/gdrive/MyDrive/IST.tif,75,41.265878769,28.732556005,plane,"[295.3968505859375, 1842.124267578125, 460.4398498535156, 2006.9273681640625]",0.7610686421394348,"[377.91835021972656, 1924.5258178710938]","[0.04829627478846346, 0.29539920458497215]"
/gdrive/MyDrive/IST.tif,76,41.25852579,28.734915074,plane,"[1132.146240234375, 5358.83935546875, 1317.8438720703125, 5515.9560546875]",0.7332705855369568,"[1224.9950561523438, 5437.397705078125]","[0.15654888896515576, 0.8345967314010936]"
/gdrive/MyDrive/IST.tif,77,41.265979605,28.749931728,plane,"[6518.90185546875, 1794.3616943359375, 6715.22314453125, 1958.3409423828125]",0.685750424861908,"[6617.0625, 1876.351318359375]","[0.8456309904153355, 0.28800480711579046]"
/gdrive/MyDrive/IST.tif,78,41.266297109,28.734327829,plane,"[914.5486450195312, 1642.851318359375, 1113.71435546875, 1806.4776611328125]",0.661919116973877,"[1014.1315002441406, 1724.6644897460938]","[0.12960146967976238, 0.26472210126570894]"
/gdrive/MyDrive/IST.tif,79,41.264042239,28.749505302,plane,"[6370.54833984375, 2723.404296875, 6557.3408203125, 2880.444580078125]",0.6557460427284241,"[6463.944580078125, 2801.9244384765625]","[0.8260632051218051, 0.43007282248297196]"
/gdrive/MyDrive/IST.tif,80,41.265763383,28.737501174,plane,"[2056.343017578125, 1888.8118896484375, 2250.84228515625, 2070.490478515625]",0.6370870471000671,"[2153.5926513671875, 1979.6511840820312]","[0.2752195081619409, 0.3038605040801276]"
/gdrive/MyDrive/IST.tif,81,41.264890708,28.737615512,plane,"[2104.684814453125, 2307.012939453125, 2284.611572265625, 2486.126953125]",0.563385009765625,"[2194.648193359375, 2396.5699462890625]","[0.28046622279353034, 0.3678541744112145]"
/gdrive/MyDrive/IST.tif,82,41.261927739,28.748304595,plane,"[5959.03271484375, 3751.346435546875, 6106.5751953125, 3872.899658203125]",0.5291035771369934,"[6032.803955078125, 3812.123046875]","[0.7709653616713259, 0.5851301683614735]"
/gdrive/MyDrive/IST.tif,83,41.263754741,28.746811264,plane,"[5417.0419921875, 2880.786376953125, 5576.1376953125, 2997.765625]",0.5151458978652954,"[5496.58984375, 2939.2760009765625]","[0.7024395966453674, 0.45115518050292597]"
